Fold,AUC,AUPR,F1,Accuracy
1,0.9309708666075125,0.9274356203535071,0.8506887052341597,0.8496115427302997
2,0.9162155998644026,0.9114349104477051,0.8210645526613817,0.8246392896781354
3,0.9262433666543255,0.9258856773810571,0.8470066518847007,0.8467518045530261
4,0.9319425917691814,0.9366774064264627,0.8490059108006448,0.8439755691282621
5,0.9243026610302083,0.9190997408765272,0.8399545970488081,0.8434203220433093
