0.55124	0.75688	0.79327	0.79048	0.64193	0.55895	0.69679	0.80886	0.49339	0.82625	0.72832	0.72194	0.52862	0.65323	0.85661	0.09463	0.54875	0.11875	0.29744	0.09477	0.71260	0.78197	0.64768	0.39814	0.64936	0.74245	0.74875	0.66143	0.74291	0.74928	0.80742	0.69513	0.65145	0.51036	0.82828	0.70244	0.71985	0.85378	0.66980
0.17759	0.96269	0.55462	0.54936	0.30692	0.46287	0.78518	0.98469	0.54738	0.92095	0.94615	0.96016	0.60379	0.86240	0.94997	0.01083	0.18846	0.00987	0.05597	0.00498	0.34617	0.96024	0.86038	0.33472	0.86620	0.94024	0.97344	0.83677	0.93621	0.96149	0.99543	0.94232	0.58706	0.59087	0.98857	0.34133	0.96298	0.49460	0.57403
0.21549	0.91102	0.54853	0.54418	0.33830	0.46227	0.75897	0.93333	0.52335	0.88410	0.89452	0.90755	0.57921	0.81840	0.91018	0.03622	0.25061	0.03712	0.09411	0.03021	0.37667	0.91006	0.81653	0.33896	0.82709	0.89299	0.91909	0.80468	0.88722	0.90894	0.94344	0.88916	0.56409	0.60706	0.93929	0.37469	0.90999	0.50133	0.55517
0.08927	0.96665	0.48546	0.47977	0.21330	0.42035	0.77315	0.97904	0.54236	0.89926	0.95424	0.96903	0.59413	0.87448	0.92263	0.01686	0.09848	0.00957	0.01495	0.01065	0.24414	0.95440	0.87508	0.34748	0.87824	0.94300	0.98190	0.83920	0.94231	0.96744	0.99140	0.95752	0.57220	0.58130	0.97810	0.23924	0.97640	0.38142	0.55276
0.19963	0.91710	0.54039	0.53551	0.32595	0.44142	0.75362	0.93984	0.52297	0.88313	0.90330	0.91627	0.57598	0.82205	0.91284	0.03480	0.21976	0.03467	0.08520	0.02953	0.34967	0.91518	0.82238	0.32475	0.82479	0.89785	0.92681	0.79731	0.89561	0.91820	0.94944	0.89740	0.56569	0.56669	0.94456	0.34681	0.91673	0.50450	0.55502
0.43689	0.88211	0.73599	0.73199	0.54596	0.57812	0.76658	0.92863	0.56570	0.91413	0.85588	0.83751	0.60538	0.77241	0.94980	0.02926	0.40445	0.04594	0.20573	0.02857	0.63241	0.90258	0.75903	0.39163	0.77286	0.86133	0.87915	0.77386	0.86829	0.87686	0.93247	0.82894	0.59927	0.57460	0.94802	0.62480	0.85197	0.76719	0.61280
0.40719	0.75468	0.69560	0.69322	0.60236	0.51815	0.70113	0.80486	0.48313	0.87714	0.73703	0.70297	0.52114	0.67203	0.86657	0.08833	0.72091	0.11510	0.33028	0.08994	0.59962	0.76209	0.67033	0.69184	0.67235	0.75756	0.74393	0.67251	0.78659	0.76839	0.80615	0.69825	0.57220	0.54827	0.83496	0.57724	0.74097	0.68566	0.60086
0.21513	0.95646	0.59209	0.58653	0.35023	0.49946	0.78903	0.98250	0.54444	0.93077	0.93875	0.94760	0.61937	0.85479	0.95805	0.00965	0.21562	0.01165	0.07346	0.00484	0.39516	0.96325	0.85180	0.32944	0.85989	0.93299	0.96463	0.83469	0.92523	0.95788	0.99190	0.93408	0.59853	0.59655	0.98815	0.38695	0.95282	0.54839	0.58299
0.20266	0.95630	0.57182	0.56680	0.33442	0.47051	0.78539	0.98106	0.54557	0.92356	0.93878	0.95414	0.59951	0.85477	0.95350	0.01199	0.22637	0.01315	0.07108	0.00614	0.37332	0.95580	0.85236	0.33570	0.85835	0.93548	0.96568	0.83180	0.93065	0.95459	0.99130	0.93239	0.58999	0.59342	0.98628	0.36888	0.95461	0.52282	0.57960
0.22130	0.91302	0.56459	0.56006	0.34005	0.48276	0.75436	0.93733	0.55252	0.88577	0.89632	0.91189	0.57651	0.82042	0.91537	0.03520	0.24989	0.03731	0.09566	0.02983	0.38393	0.91450	0.81477	0.34614	0.82120	0.89396	0.92128	0.79673	0.88848	0.91150	0.94656	0.88932	0.57045	0.56922	0.94264	0.37893	0.91094	0.52589	0.56246
