Fold,AUC,AUPR,F1,Accuracy
1176,0.9360453080176263,0.9404397728340073,0.8598726114649682,0.853496115427303
1176,0.9317981740308813,0.9208290096361497,0.846242774566474,0.8523862375138734
1176,0.9222756568184953,0.9222000105866769,0.8275862068965517,0.827968923418424
1176,0.9135612811444153,0.9059420673705245,0.8175519630484989,0.8246392896781354
1176,0.9345349825136828,0.9369326326973191,0.8506981740064447,0.8457269700332963
1176,0.925360190787788,0.9210529712468399,0.8410372040586246,0.8435072142064373
1176,0.9346744335291504,0.9400662745690851,0.8522483940042827,0.8468368479467259
1176,0.9301768944320536,0.933246941456999,0.8522483940042827,0.8466666666666667
1176,0.9217677656691917,0.9143484499840239,0.8442906574394463,0.85
1176,0.9311581318160265,0.9288553000337593,0.8453837597330367,0.8455555555555555
